OBJECTID,the_geom,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_Altern,DesDate,LandmarkTy,URL_REPORT
11,"MULTIPOLYGON (((-74.07947876389446 40.62931256676734, -74.07955618323682 40.62922986170178, -74.07985250287956 40.62939223615285, -74.07977508489692 40.62947494051512, -74.07947876389446 40.62931256676734)))",SI,515,39,364 Van Duzer Street,5005150039,364 Van Duzer Street House,LP-00772,"Borough of Richmond Tax Map Block 515, Lot 39.",,12/18/1973 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0772.pdf
12,"MULTIPOLYGON (((-74.0778489499521 40.64485009409709, -74.07803128624285 40.645091297742795, -74.07765656183544 40.64525746559583, -74.07747293610166 40.64501683405892, -74.0778489499521 40.64485009409709)))",SI,9,22,100 Richmond Terrace,5000090022,Staten Island Family Courthouse,LP-02057,"Borough of Staten Island Tax Map Block 9, Lot 22, in part excluding the portion of the lot between the western elecation and the western lot line.",originally Staten Island Children's Courthouse,01/30/2001 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2057.pdf
13,"MULTIPOLYGON (((-74.12156988970818 40.6386557556348, -74.12184016129395 40.6385612167047, -74.12202025983193 40.63891811054478, -74.12183771343211 40.63908711909169, -74.12156988970818 40.6386557556348)))",SI,188,40,1674 Richmond Terrace,5001880040,John DeGroot House,LP-02179,"Borough of Staten Island Tax Map Block 188, Lot 40.",,06/28/2005 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2179.pdf
14,"MULTIPOLYGON (((-74.14675988408393 40.57266547191616, -74.14751709942341 40.57263537633345, -74.14753939600472 40.572581915897814, -74.14774576498185 40.57257582426305, -74.14775564272772 40.57269923403136, -74.1477851281615 40.57306768047232, -74.14703149081616 40.57317651251035, -74.14696974631718 40.57318467914297, -74.1469348537762 40.573188108854474, -74.14691031622449 40.57318895791432, -74.14688541483363 40.57318761375328, -74.14686327775178 40.573184500121776, -74.14684030189937 40.57318018355516, -74.14681925732741 40.57317604372032, -74.14679323779134 40.57316835496299, -74.14677000001281 40.57315984766994, -74.14674834103776 40.573149654372116, -74.14672892247826 40.57313843431074, -74.14670621961548 40.5731245123604, -74.14668833851952 40.57311052391342, -74.14667027329352 40.57309388905339, -74.14665523329178 40.5730775961304, -74.1466418122911 40.573061788323216, -74.14663139895018 40.573046392718354, -74.14662484064858 40.573033846858955, -74.14661922235967 40.57302074417504, -74.14661699205381 40.57300861783941, -74.14661560228446 40.57299365827726, -74.14675988408393 40.57266547191616)))",SI,2294,70,Old Mill Road at Arthur Kill Road,5022940070,Saint Andrew's Church,LP-00399,"Borough of Richmond Tax Map Block 2515, Lot 10.",,11/15/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0399.pdf
15,"MULTIPOLYGON (((-74.15605897893656 40.63679254161679, -74.1560517648104 40.636355889117766, -74.15613807801141 40.636351059524266, -74.1562751742277 40.63634338905779, -74.15631085477708 40.63679823028325, -74.15605897893656 40.63679254161679)))",SI,1211,87,2876 Richmond Terrace,5012110087,Stephen D. Barnes House,LP-00930,"Borough of Staten Island, Tax Map Block 1211, Lot 87.",,07/13/1976 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0930.pdf
16,"MULTIPOLYGON (((-74.0903418101153 40.64153538055612, -74.09045694826993 40.6419231948359, -74.09079825952676 40.64186636786633, -74.09093859106208 40.64184300378113, -74.09094598410995 40.64186790448422, -74.09089147993636 40.64187697978033, -74.09091201298737 40.64194613690257, -74.09013373614135 40.64207571284462, -74.09010494548454 40.642033115653376, -74.0900783925636 40.641987754810714, -74.09005010128547 40.64192970251037, -74.09003548730875 40.64189307364383, -74.09001722313276 40.6418374448846, -74.08999757677608 40.64174482749258, -74.0900625228217 40.641694308869674, -74.0901421953643 40.641640398119236, -74.0902209397833 40.6415943693823, -74.09026505127126 40.64157132110616, -74.09031009374526 40.641549619258015, -74.0903418101153 40.64153538055612)))",SI,58,77,66 Harvard Avenue,5000580077,66 Harvard Avenue House,LP-00331,"Borough of Richmond Tax Map Block 58, Lot 77.",also known as the Pritchard House,03/19/1968 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0331.pdf
17,"MULTIPOLYGON (((-74.10332163629903 40.61746843865477, -74.10396436479999 40.61714173446395, -74.10414396961521 40.617341104905506, -74.10374945849506 40.617545878181225, -74.10380488308519 40.617612139833284, -74.103725181123 40.61765351058504, -74.10376466613262 40.61770071629772, -74.10368874734382 40.61774012137285, -74.10364926118291 40.61769291563532, -74.10356884463589 40.617734655235694, -74.10354924439555 40.61774482987268, -74.10332163629903 40.61746843865477)))",SI,246,56,1197 Clove Road,5002460056,John King Vanderbilt House,LP-01639,"Borough of Staten Island Tax Map Block 246, Lot 56.",,10/06/1987 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1639.pdf
18,"MULTIPOLYGON (((-74.11931256613616 40.58076376567011, -74.11946990129351 40.58071825984908, -74.11961063497377 40.58067755648554, -74.11974649895619 40.580638261042516, -74.12043608077433 40.58043880973041, -74.12062707556908 40.580703188041674, -74.12065479420444 40.580741371803924, -74.11942139686813 40.5810987351533, -74.11926914513998 40.58077632354571, -74.11931256613616 40.58076376567011)))",SI,939,120,25 Boyle Street,5009390120,"New Dorp Light, Expanded Site",LP-00361E,"Borough of Richmond Tax Map Block 939, Lot 120.",,12/18/1973 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0361E.pdf
19,"MULTIPOLYGON (((-74.0805060668504 40.62892264820079, -74.08043851520608 40.62888698896342, -74.08037994275129 40.628856069149506, -74.08038466213442 40.62885102383856, -74.08007896126813 40.62868964515532, -74.08018163549049 40.62858071423525, -74.08048395474691 40.62874030748226, -74.08053693057464 40.62876827295579, -74.08063029360262 40.62881755961684, -74.08052052548653 40.628930281689414, -74.0805060668504 40.62892264820079)))",SI,518,7,390 Van Duzer Street,5005180007,390 Van Duzer Street House,LP-00773,"Borough of Richmond Tax Map Block 518, Lot 7.",,12/18/1973 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0773.pdf
20,"MULTIPOLYGON (((-74.08137529062257 40.638149669987065, -74.08138906240674 40.63809448993766, -74.08176059403226 40.63815309690519, -74.08174548648768 40.63820806632652, -74.08137529062257 40.638149669987065)))",SI,25,5,411 Westervelt Avenue,5000250005,"411 Westervelt Avenue House, Horton's Row",LP-02377,"Borough of Staten Island Tax Map Block 25, Lot 5.",,09/15/2009 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2377.pdf
