OBJECTID,the_geom,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_Altern,DesDate,LandmarkTy,URL_REPORT
283,"MULTIPOLYGON (((-73.9909387567465 40.74774816592065, -73.99111718882804 40.74750379772445, -73.99124288766241 40.74755666256656, -73.99140143554014 40.747623340792885, -73.9912235477659 40.74786696474802, -73.9909387567465 40.74774816592065)))",MN,805,7501,130 West 30th Street,1008057501,130 West 30th Street Building,LP-02101,"Borough of Manhattan Tax Map Block 805, Lot 81.",,11/13/2001 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2101.pdf
284,"MULTIPOLYGON (((-74.00619644867322 40.71149789578935, -74.00645317458253 40.711319663402286, -74.00678952944321 40.71163650947283, -74.0064351131196 40.7117227159104, -74.00619644867322 40.71149789578935)))",MN,101,1,38 Park Row,1001010001,Potter Building,LP-01948,"Borough of Manhattan Tax Map Block 101, Lot 1.",,09/17/1996 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1948.pdf
285,"MULTIPOLYGON (((-73.97926568076446 40.78850785188039, -73.97945319663279 40.78824940930602, -73.97948943333094 40.788264650433916, -73.97950508350438 40.78827123497872, -73.97931756896104 40.78852967673631, -73.97926568076446 40.78850785188039)))",MN,1246,42,322 West 85th Street,1012460042,322 West 85th Street House,LP-01680,"Borough of Manhattan Tax Map Block 1246, Lot 42.",,04/16/1991 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1680.pdf
286,"MULTIPOLYGON (((-74.00944300832144 40.72592036755368, -74.00947042713636 40.72576295812709, -74.00954450014629 40.72577025063641, -74.00951708150336 40.72592766008048, -74.00944300832144 40.72592036755368)))",MN,595,71,326 Spring Street,1005950071,326 Spring Street House,LP-00568,"Borough of Manhattan Tax Map Block 595, Lot 71.",designated as the James Brown House,11/19/1969 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0568.pdf
287,"MULTIPOLYGON (((-73.9951536580598 40.72263483788465, -73.9955049902519 40.722707271102635, -73.99547731000962 40.72277860206886, -73.99545002273939 40.7228489280748, -73.99533686461294 40.7231403355798, -73.99501012251798 40.723004765509174, -73.9951536580598 40.72263483788465)))",MN,494,21,32 Prince Street,1004940021,Roman Catholic Orphan Asylum,LP-00186,"Borough of Manhattan Tax Map Block 494, Lot 21.",now Saint Patrick's Convent and Girls' School,06/21/1966 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0186.pdf
288,"MULTIPOLYGON (((-73.98887662683985 40.73872335600949, -73.98904345109196 40.73849130943626, -73.9891270263386 40.738526545208245, -73.98920222140663 40.738558248343786, -73.98903560832298 40.738790004301016, -73.98887662683985 40.73872335600949)))",MN,848,55,28 East 20th Street,1008480055,Theodore Roosevelt Birthplace,LP-00218,"Borough of Manhattan Tax Map Block 848, Lot 55.",now the Theodore Roosevelt Birthplace Historic Site,03/15/1966 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0218.pdf
289,"MULTIPOLYGON (((-73.98436445648235 40.76122515247969, -73.9845619632941 40.760911916101165, -73.98493160473457 40.76106699590489, -73.9847509285654 40.761316591083, -73.98467922101587 40.761286506519696, -73.98463996299223 40.7613407404793, -73.98436445648235 40.76122515247969)))",MN,1021,19,1619 Broadway,1010210019,Brill Building,LP-02387,"Borough of Manhattan Tax Map Block 1021, Lot 19",,03/23/2010 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2387.pdf
290,"MULTIPOLYGON (((-74.01225071852335 40.70726608421878, -74.01259905899036 40.70742341456024, -74.01294528739317 40.70757339951257, -74.01286751589848 40.707705842813304, -74.0120899665348 40.70745972283718, -74.01225071852335 40.70726608421878)))",MN,21,6,71 Broadway,1000210006,Empire Building,LP-01933,"Borough of Manhattan Tax Map Block 21, Lot 6, and the portions of the adjacent sidewalk on which the described improvement is situated.",,06/25/1996 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1933.pdf
291,"MULTIPOLYGON (((-73.9951492916826 40.718992262767564, -73.99480329497872 40.71887194135492, -73.99485700205223 40.71873573624623, -73.9951959656582 40.71885362222778, -73.99525145185028 40.71871913067929, -73.99559770200904 40.718837040992845, -73.99548553289331 40.71910528862666, -73.99541793097598 40.71908177544536, -73.9954165057393 40.71908520362954, -73.9951492916826 40.718992262767564)))",MN,470,61,130 Bowery,1004700061,Bowery Savings Bank,LP-00184,"Borough of Manhattan, Tax Map Block 470, Lot 61.",,04/19/1966 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0184.pdf
292,"MULTIPOLYGON (((-73.99353689369173 40.72763141241129, -73.99371250563834 40.7274236108172, -73.99402472425024 40.7275799638761, -73.99384893294945 40.727787676781944, -73.99353689369173 40.72763141241129)))",MN,531,7504,376-380 Lafayette Street,1005317504,Schermerhorn Building,LP-00193,"Borough of Manhattan Tax Map Block 531, Lot 12.",also known as the 376-380 Lafayette Street Building,05/17/1966 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0193.pdf
293,"MULTIPOLYGON (((-74.01396496637496 40.71011248649276, -74.01403533867233 40.70992916452705, -74.01408751906911 40.70995091449733, -74.01418460303827 40.70969856860132, -74.01452642694069 40.709843496530894, -74.01435344108577 40.71028293874345, -74.01396496637496 40.71011248649276)))",MN,56,4,90 West Street and 140 Cedar Street,1000560004,West Street Building,LP-01984,"Borough of Manhattan Tax Map Block 56, Lot 4.",,05/19/1998 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1984.pdf
294,"MULTIPOLYGON (((-73.97872601632376 40.764817574732454, -73.97889861491407 40.76457645868949, -73.97891452710864 40.764583108223434, -73.97911256829762 40.764665861901, -73.97915538580668 40.76468375276609, -73.97898278786764 40.76492487009038, -73.97872601632376 40.764817574732454)))",MN,1009,50,140 West 57th Street,1010090050,140 West 57th Street Studio Building,LP-02043,"Borough of Manhattan Tax Map Block 1009, Lot 50.",,10/19/1999 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2043.pdf
295,"MULTIPOLYGON (((-74.00269964113879 40.748344662744884, -74.0026570847553 40.748326809398385, -74.00283518280283 40.74807931363034, -74.00290269501498 40.74810767069042, -74.00272463029461 40.748355118834226, -74.00269964113879 40.748344662744884)))",MN,722,10,451 West 24th Street,1007220010,451 West 24th Street House,LP-00685,"Borough of Manhattan Tax Map Block 722, Lot 10.",,09/15/1970 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0685.pdf
296,"MULTIPOLYGON (((-73.98883220516066 40.728999511188704, -73.9890474557328 40.72870657478934, -73.98912726653936 40.72874031270602, -73.98891208132933 40.729033159208655, -73.98883220516066 40.728999511188704)))",MN,463,19,20 Saint Mark's Place,1004630019,20 Saint Mark's Place House,LP-00562,"Borough of Manhattan Tax Map Block 463, Lot 19.",also known as the Daniel Leroy House,11/19/1969 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0562.pdf
297,"MULTIPOLYGON (((-73.97848650717326 40.72417019575304, -73.97857688033986 40.72404677709943, -73.97869802300633 40.72409775128979, -73.97860765117859 40.724221170037865, -73.97848650717326 40.72417019575304)))",MN,377,72,106 Avenue C,1003770072,Public National Bank of New York Building,LP-02263,"Borough of Manhattan Tax Map Block 377, Lot 72.",later Public National Bank & Trust Company of New York Building,09/16/2008 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2263.pdf
298,"MULTIPOLYGON (((-74.00907319219858 40.73839685509733, -74.00907522541027 40.738200299371655, -74.00957721125259 40.738200871064855, -74.00956124384821 40.73839741174807, -74.00907319219858 40.73839685509733)))",MN,642,1,505-507 West Street,1006420001,American Seamen's Friend Society Sailors' Home and Institute,LP-02080,"Borough of Manhattan Tax Map Block 642, Lot 1.",,11/28/2000 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2080.pdf
299,"MULTIPOLYGON (((-74.00749079377609 40.711769852326036, -74.00753172954083 40.711768837480975, -74.0075794196294 40.71177234814372, -74.0076198782162 40.711779432492115, -74.00768082324568 40.711798054605396, -74.00773531009848 40.7118247033724, -74.0077716394942 40.7118498296767, -74.00780642185308 40.71188229163448, -74.0078284546376 40.711910196964716, -74.00784955963186 40.71194814665015, -74.00786179513665 40.711988564336885, -74.00786468477432 40.712006103386095, -74.0078659481971 40.71202208916539, -74.00786490315477 40.712051555747216, -74.00785989340491 40.71207922518041, -74.00785289485377 40.71210153130739, -74.00773364774925 40.71226644629551, -74.00626408775777 40.71399831918033, -74.00430548549846 40.71309540328089, -74.00470697110579 40.71268274120132, -74.00477023548284 40.71261572980212, -74.00490639579365 40.71251295870875, -74.00499531757904 40.71245715564425, -74.00505471403456 40.712422063754396, -74.00513138386572 40.71238692513904, -74.00522919647592 40.7123465751594, -74.00531044386398 40.71231404499573, -74.00540798972666 40.71228508453477, -74.00740670939643 40.71178397057061, -74.00744326568321 40.71177568531523, -74.00749079377609 40.711769852326036)))",MN,122,1,City Hall Park,1001220001,City Hall,LP-00080,"Borough of Manhattan Tax Map Block 122, Lot 1.",,02/01/1966 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0080.pdf
300,"MULTIPOLYGON (((-73.99108826677106 40.71867599060949, -73.99119028741562 40.718479308189124, -73.99125833145098 40.718499841399634, -73.99115631097582 40.71869652387976, -73.99108826677106 40.71867599060949)))",MN,414,27,280 Broome Street,1004140027,Kehila Kadosha Janina Synagogue,LP-02143,"Borough of Manhattan Tax Block 414, Lot 27.",,05/11/2004 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2143.pdf
301,"MULTIPOLYGON (((-73.98673587878217 40.760020358660654, -73.9869240038084 40.7597645206715, -73.98715895864515 40.75986327213189, -73.98723012577602 40.75989322182344, -73.98719447789547 40.759941698337, -73.98704176819618 40.76014937725906, -73.98673587878217 40.760020358660654)))",MN,1018,57,256-262 West 47th Street,1010180057,Mansfield Theater,LP-01311,"Borough of Manhattan Tax Map Block 1018, Lot 57.",now the Brooks Atkinson Theater,11/04/1987 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1311.pdf
302,"MULTIPOLYGON (((-74.00991951896249 40.70745632739032, -74.01034718753577 40.70701591182539, -74.01061466816616 40.70718267566478, -74.01018945417621 40.70762056516226, -74.00991951896249 40.70745632739032)))",MN,43,6,28 Wall Street,1000430006,United States Custom House,LP-00047,"Borough of Manhattan Tax Map Block 43, Lot 6.","later the U.S. Sub-Treasury, now Federal Hall National Memorial",12/21/1965 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0047.pdf
303,"MULTIPOLYGON (((-74.00877979090093 40.71241041784553, -74.00863583620928 40.71259141516088, -74.00848569113316 40.712780192259295, -74.00786956551936 40.712499636921144, -74.0081763428906 40.71213691866924, -74.00877979090093 40.71241041784553)))",MN,123,7501,233 Broadway,1001237501,Woolworth Building,LP-01273,"Borough of Manhattan, Tax Map Block 123, Lot 22.",,04/12/1983 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1273.pdf
304,"MULTIPOLYGON (((-73.98949794524614 40.74136342243442, -73.98958235697343 40.740737855909764, -73.98987613773461 40.74086126059392, -73.98950474186266 40.741366268656336, -73.98949794524614 40.74136342243442)))",MN,851,1,Broadway and Fifth Avenue at 23rd Street,1008510001,Flatiron Building,LP-00219,"Borough of Manhattan Tax Map Block 851, Lot 1.",,09/20/1966 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0219.pdf
305,"MULTIPOLYGON (((-73.98501232839037 40.73105986495408, -73.98519940549717 40.73080278139764, -73.98532375069571 40.73085523031535, -73.98522869029269 40.730985864819, -73.98513667510518 40.731112314072085, -73.98501232839037 40.73105986495408)))",MN,454,66,308 East 12th Street,1004540066,"Children's Aid Society, Elizabeth Home for Girls",LP-02274,"Borough of Manhattan Tax Map Block 454, Lot 66.",,03/18/2008 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2274.pdf
306,"MULTIPOLYGON (((-74.00251700807864 40.74003757440043, -74.00260346574251 40.739920253493544, -74.00300046134258 40.74008778230737, -74.00280399958953 40.740354282463905, -74.0026502182752 40.740289734146856, -74.00276035804026 40.74014027797855, -74.00251700807864 40.74003757440043)))",MN,738,33,81 Eighth Avenue,1007380033,New York Savings Bank,LP-01634,"Borough of Manhattan Tax Map Block 738, Lot 33.",,06/08/1988 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1634.pdf
307,"MULTIPOLYGON (((-73.99121062309464 40.7576806829201, -73.99138433716506 40.75744212255549, -73.99131435035729 40.7574116207974, -73.991494744781 40.757163884614165, -73.99197833932038 40.757368019668405, -73.99162369891422 40.75785504965554, -73.99121062309464 40.7576806829201)))",MN,1032,48,330 West 42nd Street,1010320048,McGraw-Hill Building,LP-01050,"Borough of Manhattan Tax Map Block 1032, Lot 48.",,09/11/1979 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1050.pdf
308,"MULTIPOLYGON (((-74.0025713196226 40.748290869441526, -74.00252754724461 40.74827251449223, -74.00270571311647 40.74802492616883, -74.00276993462971 40.74805190200765, -74.00259180326073 40.74829944360236, -74.0025713196226 40.748290869441526)))",MN,722,12,447 West 24th Street,1007220012,447 West 24th Street House,LP-00683,"Borough of Manhattan Tax Map Block 722, Lot 12.",,09/15/1970 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0683.pdf
309,"MULTIPOLYGON (((-74.0037906268207 40.717315227050186, -74.00429330046174 40.71755634707755, -74.00431188003907 40.7175648084758, -74.0042040686598 40.71769287669289, -74.00367482642788 40.717450331624015, -74.0037906268207 40.717315227050186)))",MN,174,31,361 Broadway,1001740031,361 Broadway Building,LP-01225,"Borough of Manhattan, Tax Map Block 174, Lot 31.",also known as the James S. White Building,07/27/1982 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1225.pdf
310,"MULTIPOLYGON (((-73.98941140981039 40.713735096817096, -73.9894536670767 40.71373117086836, -73.98959834486068 40.71371772860385, -73.98963741999697 40.71400167388341, -73.98945048297729 40.714019040358316, -73.98941140981039 40.713735096817096)))",MN,284,7503,173-175 East Broadway,1002847503,Forward Building,LP-01419,"Borough of Manhattan Tax Map Block 284, Lot 23.",,03/18/1986 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1419.pdf
311,"MULTIPOLYGON (((-73.98795889969853 40.75856600219368, -73.98770335429954 40.75845948779765, -73.98788546722697 40.75820918834565, -73.9883247104737 40.758392270324585, -73.98815921672573 40.75861969394731, -73.98797554027098 40.75854313561089, -73.98795889969853 40.75856600219368)))",MN,1016,5,245-257 West 44th Street,1010160005,Majestic Theater,LP-01355,"Borough of Manhattan Tax Map Block 1016, Lot 5.",,12/08/1987 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1355.pdf
312,"MULTIPOLYGON (((-73.97967322212952 40.75121150684101, -73.9798548608201 40.750962171571594, -73.97993277918457 40.75099499780524, -73.9800110764974 40.75102798344128, -73.9799670776316 40.75108838173023, -73.98028908257803 40.75122403995444, -73.98015144379168 40.751412976659466, -73.97967322212952 40.75121150684101)))",MN,869,54,275 Madison Avenue,1008690054,275 Madison Avenue Building,LP-02286,"Borough of Manhattan Tax Map Block 869, Lot 54.",originally 22 East 40th Street Building,01/13/2009 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2286.pdf
313,"MULTIPOLYGON (((-73.99326980936046 40.71475912060319, -73.99329853210408 40.7147031204402, -73.99334627934122 40.71461003114967, -73.9934200124349 40.71463236534323, -73.99365991633164 40.71470511212682, -73.99358020666925 40.7148532101443, -73.99326980936046 40.71475912060319)))",MN,293,3,12-16 Eldridge Street,1002930003,Eldridge Street Synagogue,LP-01107,"Borough of Manhattan Tax Map Block 293, Lot 3.",(Congregation Khal Adath Jeshurun with Anshe Lubz),07/08/1980 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1107.pdf
314,"MULTIPOLYGON (((-73.98722196218426 40.75711706526656, -73.98686581144715 40.757610811734466, -73.98620066303206 40.757329689967534, -73.98655408778747 40.75683479167028, -73.98722196218426 40.75711706526656)))",MN,1015,29,1501 Broadway,1010150029,Paramount Building,LP-01566,"Borough of Manhattan Tax Map Block 1015, Lot 29.",,11/01/1988 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1566.pdf
315,"MULTIPOLYGON (((-73.9921057563553 40.72787758352227, -73.9923637114769 40.72757234194925, -73.99243820269895 40.72760894984641, -73.9921806882983 40.72791265354571, -73.9921057563553 40.72787758352227)))",MN,544,71,29 East 4th Street,1005440071,Old Merchant's House,LP-00006,"Borough of Manhattan Tax Map Block 544, Lot 71.",also known as the Seabury Tredwell House,10/14/1965 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0006.pdf
316,"MULTIPOLYGON (((-73.98022131199069 40.76607436924911, -73.979919837466 40.765947734169224, -73.98009807070433 40.76570017154481, -73.98065935407801 40.765935936212394, -73.98048112821603 40.76618350329948, -73.98022131199069 40.76607436924911)))",MN,1029,27,205 West 57th Street,1010290027,Osborne Apartments,LP-01770,"Borough of Manhattan, Tax Map Block 1029, Lot 27.",,08/13/1991 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1770.pdf
317,"MULTIPOLYGON (((-74.0085384426852 40.72584912057342, -74.00857542462718 40.72564035371831, -74.00866894061059 40.725649250048406, -74.00863196014052 40.72585801873424, -74.0085384426852 40.72584912057342)))",MN,594,34,310 Spring Street,1005940034,Dennison and Lydia Wood House,LP-02486,"Borough of Manhattan Tax Map Block 594, Lot 34",,03/27/2012 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2486.pdf
318,"MULTIPOLYGON (((-73.9876579801535 40.7562065373479, -73.98784268606049 40.75595179866921, -73.98775920685621 40.75591662149858, -73.98793920317978 40.75566837479673, -73.98841582404731 40.75586922106933, -73.98823582895746 40.75611746760817, -73.98806060818112 40.75604363066814, -73.98799187698297 40.75601466777954, -73.98792042473512 40.75598455732088, -73.98773571903459 40.75623929612305, -73.9876579801535 40.7562065373479)))",MN,1013,39,214 West 42nd Street,1010130039,New Amsterdam Theater,LP-01026,"Borough of Manhattan Tax Map Block 1013, Lot 39.",,10/23/1979 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1026.pdf
319,"MULTIPOLYGON (((-73.98494095465908 40.74135113540297, -73.9847661401892 40.74159163334895, -73.98467204622068 40.74155173830722, -73.98449327100903 40.74179769147736, -73.98353129436985 40.74139213975365, -73.98388476243147 40.74090587448989, -73.98494095465908 40.74135113540297)))",MN,881,6,68 Lexington Avenue,1008810006,Sixty-Ninth Regiment Armory,LP-01228,"Borough of Manhattan Tax Map Block 881, Lot 6.",,04/12/1983 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1228.pdf
320,"MULTIPOLYGON (((-73.98999855680802 40.73876714522393, -73.99004198065214 40.73860491897361, -73.99040292819802 40.738757079540406, -73.99030187129374 40.738895020703694, -73.98999855680802 40.73876714522393)))",MN,848,12,889-891 Broadway,1008480012,Gorham Manufacturing Company Building,LP-01227,"Borough of Manhattan, Tax Map Block 848, Lot 12.",,06/19/1984 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1227.pdf
321,"MULTIPOLYGON (((-73.98012356734168 40.74776865631373, -73.980257181841 40.74758539834812, -73.98059415525222 40.74772756901551, -73.98050370733515 40.74785162009262, -73.98024305108638 40.74774164637378, -73.9801998814328 40.747800855353084, -73.98012356734168 40.74776865631373)))",MN,891,1,23 Park Avenue,1008910001,James Hampden Robb and Cornelia Van Rennselaer Robb House,LP-02026,"Borough of Manhattan Tax Map Block 891, Lot 1.",,11/17/1998 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2026.pdf
322,"MULTIPOLYGON (((-74.01265157871232 40.708927863947416, -74.01265211107736 40.70892705342898, -74.0124110642412 40.70881688773394, -74.0126082271292 40.70852218576231, -74.01276735252989 40.70859151388134, -74.012826144985 40.708476225715614, -74.01319555534423 40.70861860069272, -74.01299729584426 40.709073316498866, -74.01265157871232 40.708927863947416)))",MN,51,13,86 Trinity Place,1000510013,"New York Curb Exchange, incorporating the New York Curb Market Building",LP-02515,"Borough of Manhattan Tax Map Block 51, Lot 13",later known as the American Stock Exchange,06/26/2012 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2515.pdf
323,"MULTIPOLYGON (((-73.9809693062173 40.749339069405785, -73.98115607828294 40.74908678370971, -73.98084962705224 40.748957743770184, -73.98103129787518 40.74871237780427, -73.98187686409504 40.749068423691256, -73.98169519541558 40.74931379097832, -73.98119491532707 40.74910313694422, -73.98113600923811 40.749182699632925, -73.98112668452914 40.74917851075207, -73.98099867056862 40.749351434600015, -73.9809693062173 40.749339069405785)))",MN,866,25,225 Madison Avenue,1008660025,Pierpont Morgan Library and Annex,LP-00239,"Borough of Manhattan Tax Map Block 866, Lot 25.",now the Morgan Library & Museum,05/17/1966 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0239.pdf
324,"MULTIPOLYGON (((-73.99329297435686 40.7379797094357, -73.9932059348579 40.73794305637973, -73.9933730306578 40.737713911265615, -73.99347508339095 40.73775685059063, -73.99330797007316 40.73798602376617, -73.99329297435686 40.7379797094357)))",MN,818,37,5 West 16th Street,1008180037,5 West 16th Street Building,LP-01581,"Borough of Manhattan Tax Map Block 818, Lot 37.",,05/01/1990 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1581.pdf
325,"MULTIPOLYGON (((-73.97937779000486 40.789048175162016, -73.97933454339355 40.78902989265376, -73.97951871327528 40.78877962504008, -73.97958521191373 40.788807742367894, -73.97940104457432 40.7890580082862, -73.97937779000486 40.789048175162016)))",MN,1247,19,335 West 85th Street,1012470019,335 West 85th Street House,LP-01686,"Borough of Manhattan Tax Map Block 1247, Lot 19.",,04/16/1991 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1686.pdf
326,"MULTIPOLYGON (((-73.98798911415359 40.716990693620694, -73.98789626286593 40.71717059860644, -73.98755863149749 40.71706844567273, -73.98765151432413 40.71688854906475, -73.98798911415359 40.716990693620694)))",MN,346,37,60-64 Norfolk Street,1003460037,Norfolk Street Baptist Church,LP-00637,"Borough of Manhattan Tax Map Block 351, Lot 37.",now Beth Hamerdash Hagodol Synagogue,02/28/1967 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0637.pdf
327,"MULTIPOLYGON (((-73.99826387543274 40.712315724880646, -73.99826380324978 40.71231547183608, -73.99835959075219 40.71230571981012, -73.99830164068759 40.71210453948623, -73.99867223306615 40.71206680935806, -73.99874988238568 40.71233637989327, -73.99828350213792 40.71238386321295, -73.99826387543274 40.712315724880646)))",MN,279,25,32 James Street,1002790025,Saint James Roman Catholic Church,LP-00092,"Borough of Manhattan Tax Map Block 279, Lot 25.",,01/18/1966 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0092.pdf
328,"MULTIPOLYGON (((-73.98038283159781 40.74877341895743, -73.98071436760328 40.748913024580794, -73.98072127470572 40.748903696493564, -73.98080352787494 40.7489383319905, -73.98061675489043 40.74919061712028, -73.9802029634851 40.74901637535484, -73.98038283159781 40.74877341895743)))",MN,866,42,38 East 37th Street,1008660042,Union League Club,LP-02389,"Borough of Manhattan Tax Map Block 866, Lot 42",,10/25/2011 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2389.pdf
329,"MULTIPOLYGON (((-73.98074986128479 40.78745776780517, -73.98081796734554 40.787364936610935, -73.98090157240885 40.7873999322568, -73.98088924242221 40.7874167380634, -73.98092656887461 40.78743236343603, -73.98087079291106 40.78750838798995, -73.98074986128479 40.78745776780517)))",MN,1245,43,332 West 83rd Street,1012450043,332 West 83rd Street House,LP-01676,"Borough of Manhattan Tax Map Block 1245, Lot 43.",,04/16/1991 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1676.pdf
330,"MULTIPOLYGON (((-73.97920602980967 40.78897555223447, -73.9793901976543 40.78872528572409, -73.9794556548864 40.78875296169531, -73.97927148721124 40.78900322830919, -73.97920602980967 40.78897555223447)))",MN,1247,20,331 West 85th Street,1012470020,331 West 85th Street House,LP-01684,"Borough of Manahttan Tax Map Block 1247, Lot 20.",,04/16/1991 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1684.pdf
331,"MULTIPOLYGON (((-73.98078888838688 40.78727042148837, -73.98082730771276 40.78721805564923, -73.98104075355381 40.787307401747114, -73.98103413686987 40.78737307869694, -73.98078888838688 40.78727042148837)))",MN,1245,46,104 Riverside Drive,1012450046,104 Riverside Drive House,LP-01673,"Borough of Manhattan Tax Map Block 1245, Lot 46.",,04/16/1991 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1673.pdf
349,"MULTIPOLYGON (((-73.98109272953761 40.75518213439865, -73.9812780809851 40.75493444736222, -73.98133531930824 40.75495847222778, -73.98158822412576 40.75506462577549, -73.98140609648212 40.755313666385554, -73.98109272953761 40.75518213439865)))",MN,1259,48,20 West 44th Street,1012590048,General Society of Mechanics and Tradesmen,LP-01546,"Borough of Manhattan Tax Map Block 1259, Lot 48.",,10/18/1988 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1546.pdf
332,"MULTIPOLYGON (((-74.00931472169007 40.70708834167567, -74.00946304259894 40.70691853457494, -74.00942360323079 40.70689453738367, -74.00969063037115 40.70660656681795, -74.01012091243622 40.70687483623302, -74.00989492571378 40.707107558801056, -74.00985634277482 40.707147293568596, -74.01001985204013 40.70724677964175, -74.01006198069967 40.70727280704549, -74.00989696584024 40.70744260464003, -74.00931472169007 40.70708834167567)))",MN,43,2,40 Wall Street,1000430002,Manhattan Company Building,LP-01936,"Borough of Manhattan Tax Map Block 43, Lot 2.",now the Trump Building,12/12/1995 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1936.pdf
333,"MULTIPOLYGON (((-74.00462338448318 40.717628885685166, -74.00455941033951 40.717599750434104, -74.00454754627383 40.71759434874382, -74.00475936064693 40.7172868457237, -74.00484107501617 40.71732416215448, -74.00462484973944 40.71762955470526, -74.00462338448318 40.717628885685166)))",MN,174,7503,85 Leonard Street,1001747503,"Kitchen, Montross & Wilcox Store",LP-00877,"Borough of Manhattan Tax Map Block 174, Lot 3.",also known as 85 Leonard Street Building,11/26/1974 12:00:00 AM +0000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0877.pdf
